lot,lat,axis,uf,value
-36.7600,-9.3900,Estrela de Alagoas,AL,2193
-36.6780,-9.9000,Feira Grande,AL,2091
-36.3060,-10.2920,Feliz Deserto,AL,9870
-35.7150,-9.2730,Flexeiras,AL,5688
-36.8290,-9.8840,Girau do Ponciano,AL,9838
-35.9390,-8.9730,Ibateguara,AL,2715
-36.6340,-9.5370,Igaci,AL,6316
-36.6620,-10.1250,Igreja Nova,AL,771
-37.7540,-9.2190,Inhapi,AL,3338
-37.2050,-9.6360,Jacaré dos Homens,AL,3607
-35.4600,-8.8420,Jacuípe,AL,5864
-35.2580,-9.0880,Japaratinga,AL,6350
-37.0020,-9.6590,Jaramataia,AL,6011
-35.7480,-9.1330,Joaquim Gomes,AL,1792
-35.5740,-8.9350,Jundiá,AL,4251
-36.4760,-9.9250,Junqueiro,AL,4473
-36.7380,-9.8300,Lagoa da Canoa,AL,6227
-36.5030,-9.7410,Limoeiro de Anadia,AL,1949
-35.7350,-9.6660,Maceió,AL,8524
-36.9850,-9.5320,Major Isidoro,AL,2762
-36.3880,-9.4480,Mar Vermelho,AL,4290
-35.2220,-9.0120,Maragogi,AL,4531
-37.3500,-9.2360,Maravilha,AL,3763
-35.8950,-9.7100,Marechal Deodoro,AL,7260
-36.3050,-9.5770,Maribondo,AL,596
-37.7340,-9.1180,Mata Grande,AL,9931
-35.5330,-9.1520,Matriz de Camaragibe,AL,6233
-35.8420,-9.3830,Messias,AL,4603
-36.8650,-9.3050,Minador do Negrão,AL,5796
-37.2480,-9.6030,Monteirópolis,AL,81
-35.9430,-9.3070,Murici,AL,7306
-35.6470,-8.9150,Novo Lino,AL,9165
-37.2940,-9.5360,Olho d'Água das Flores,AL,3230
-37.8320,-9.5010,Olho d'Água do Casado,AL,1216
-36.8170,-10.0580,Olho d'Água Grande,AL,8631
-37.1910,-9.5190,Olivença,AL,7458
-37.3570,-9.1670,Ouro Branco,AL,6196
-37.3290,-9.6720,Palestina,AL,5263
-36.6280,-9.4070,Palmeira dos Índios,AL,6748
-37.4370,-9.7480,Pão de Açúcar,AL,2065
-38.0060,-9.2540,Pariconha,AL,4671
-35.5520,-9.4650,Paripueira,AL,9293
-35.4930,-9.2380,Passo de Camaragibe,AL,3747
-36.3700,-9.3660,Paulo Jacinto,AL,7107
-36.5860,-10.2900,Penedo,AL,2657
-36.4340,-10.4060,Piaçabuçu,AL,5572
-35.9570,-9.5970,Pilar,AL,7541
-36.2900,-9.4750,Pindoba,AL,8546
-37.7570,-9.6240,Piranhas,AL,1755
-37.2860,-9.3130,Poço das Trincheiras,AL,3026
-35.3980,-9.0450,Porto Calvo,AL,4824
-35.2950,-9.1580,Porto de Pedras,AL,5534
-36.8400,-10.1860,Porto Real do Colégio,AL,4628
-36.4710,-9.3190,Quebrangulo,AL,8184
-35.8530,-9.4780,Rio Largo,AL,8281
-35.9780,-9.8330,Roteiro,AL,5889
-35.8220,-9.6030,Santa Luzia do Norte,AL,974
-37.2450,-9.3780,Santana do Ipanema,AL,4995
-36.2220,-9.1680,Santana do Mundaú,AL,5465
-36.9010,-10.1280,São Brás,AL,2827
-36.0580,-9.0100,São José da Laje,AL,5759
-37.3810,-9.5580,São José da Tapera,AL,1980
-35.5610,-9.3180,São Luís do Quitunde,AL,6836
-36.0940,-9.7810,São Miguel dos Campos,AL,4654
-35.3730,-9.2660,São Miguel dos Milagres,AL,206
-36.5540,-9.9340,São Sebastião,AL,4567
-35.8240,-9.5630,Satuba,AL,1777
-37.5070,-9.3540,Senador Rui Palmeira,AL,9788
-36.4330,-9.5320,Tanque d'Arca,AL,7260
-36.4970,-9.6450,Taquarana,AL,8434
-36.3530,-9.9050,Teotônio Vilela,AL,317
-37.0030,-9.9710,Traipu,AL,1647
-36.0320,-9.1630,União dos Palmares,AL,9496
-36.2410,-9.3710,Viçosa,AL,2301
-64.8040,-3.2210,Alvarães,AM,8271
-68.1980,-3.3640,Amaturá,AM,2972
-61.4040,-3.5800,Anamã,AM,8478
-61.6440,-3.7730,Anori,AM,2510
-59.8910,-7.1970,Apuí,AM,6795
-70.1920,-4.3720,Atalaia do Norte,AM,4631
-59.1310,-3.5800,Autazes,AM,1231
-62.9240,-0.9750,Barcelos,AM,9596
-57.0700,-2.7930,Barreirinha,AM,6947
-70.0310,-4.3830,Benjamin Constant,AM,8136
-61.3730,-3.8980,Beruri,AM,8412
-57.5900,-2.9700,Boa Vista do Ramos,AM,8305
-67.3980,-8.7520,Boca do Acre,AM,2487
-59.5940,-4.3880,Borba,AM,444
-61.2090,-3.3280,Caapiranga,AM,7764
-64.3830,-6.5340,Canutama,AM,7303
-66.8960,-4.8830,Carauari,AM,8397
-60.3690,-3.7680,Careiro,AM,3924
-59.8260,-3.2210,Careiro da Várzea,AM,2523
-63.1410,-4.0850,Coari,AM,5745
-62.0570,-3.8370,Codajás,AM,1130
-69.8740,-6.6600,Eirunepé,AM,2704
-70.0230,-7.4330,Envira,AM,394
-66.0920,-2.5140,Fonte Boa,AM,8356
-72.5840,-7.5460,Guajará,AM,4132
-63.0210,-7.5060,Humaitá,AM,439
-71.6950,-7.0510,Ipixuna,AM,9211
-60.1860,-3.2850,Iranduba,AM,5796
-58.4440,-3.1430,Itacoatiara,AM,5502
-68.2530,-6.4250,Itamarati,AM,2323
-58.0220,-2.7490,Itapiranga,AM,7011
-66.5990,-1.8260,Japurá,AM,789
-66.0690,-3.4810,Juruá,AM,591
-66.7670,-2.7470,Jutaí,AM,3533
-64.7980,-7.2590,Lábrea,AM,1561
-60.6210,-3.3000,Manacapuru,AM,8789
-60.4590,-3.4280,Manaquiri,AM,1182
-60.0250,-3.1020,Manaus,AM,9754
-61.3000,-5.8090,Manicoré,AM,5909
-65.5810,-1.8560,Maraã,AM,5983
-57.7190,-3.3840,Maués,AM,4749
-56.7130,-2.1860,Nhamundá,AM,7480
-59.0940,-3.8880,Nova Olinda do Norte,AM,9818
-60.9440,-2.6210,Novo Airão,AM,7657
-60.3800,-5.1210,Novo Aripuanã,AM,9151
-56.7360,-2.6280,Parintins,AM,4374
-66.9760,-7.7140,Pauini,AM,9191
-60.0250,-2.0340,Presidente Figueiredo,AM,2773
-59.7000,-2.6990,Rio Preto da Eva,AM,6206
-65.0190,-0.4140,Santa Isabel do Rio Negro,AM,5293
-67.9400,-3.1020,Santo Antônio do Içá,AM,5687
-67.0890,-0.1300,São Gabriel da Cachoeira,AM,9944
-68.8730,-3.3780,São Paulo de Olivença,AM,9563
-57.8710,-2.5720,São Sebastião do Uatumã,AM,8241
-58.2090,-2.8390,Silves,AM,1540
-69.9380,-4.2530,Tabatinga,AM,7144
-63.1830,-5.6280,Tapauá,AM,3060
-64.7110,-3.3540,Tefé,AM,2904
-67.8020,-2.8730,Tonantins,AM,5241
-65.1080,-2.9900,Uarini,AM,7666
-57.7600,-2.5360,Urucará,AM,5475
-58.1550,-3.1310,Urucurituba,AM,520
-50.7930,2.0530,Amapá,AP,2138
-50.9490,2.4980,Calçoene,AP,8646
-50.8020,0.9860,Cutias,AP,3622
-51.1800,0.8580,Ferreira Gomes,AP,5756
-50.8000,0.7120,Itaubal,AP,9117
-52.0000,-1.1200,Laranjal do Jari,AP,2952
-51.0660,0.0390,Macapá,AP,4986
-51.2890,-0.1150,Mazagão,AP,495
-51.8350,3.8430,Oiapoque,AP,7914
-51.9440,0.7780,Pedra Branca do Amaparí,AP,2280
-51.4130,0.7130,Porto Grande,AP,9217
-50.7910,1.7430,Pracuúba,AP,5998
-51.1820,-0.0580,Santana,AP,508
-52.0020,0.8960,Serra do Navio,AP,4389
-50.9120,1.5060,Tartarugalzinho,AP,4479
-52.4530,-0.8050,Vitória do Jari,AP,9352
-41.6640,-13.2500,Abaíra,BA,2649
-39.1150,-8.7210,Abaré,BA,7185
-38.0170,-11.6620,Acajutiba,BA,909
-38.1000,-10.5330,Adustina,BA,8890
-38.7670,-11.8670,Água Fria,BA,733
-39.8880,-14.1290,Aiquara,BA,4508
-38.4190,-12.1360,Alagoinhas,BA,375
-39.1960,-17.5190,Alcobaça,BA,9702
-39.6370,-14.7050,Almadina,BA,2642
-39.6050,-13.0300,Amargosa,BA,6701
-38.7570,-12.3920,Amélia Rodrigues,BA,5146
-41.4360,-11.4550,América Dourada,BA,3500
-41.1360,-14.6120,Anagé,BA,8194
-41.3310,-12.8070,Andaraí,BA,4755
-39.8330,-10.3450,Andorinha,BA,2509
-44.6940,-12.0070,Angical,BA,9080
-39.2460,-12.1510,Anguera,BA,1085
-38.3330,-10.4000,Antas,BA,7127
-39.1200,-12.4350,Antônio Cardoso,BA,1099
-40.2740,-10.5730,Antônio Gonçalves,BA,5505
-38.0810,-11.6600,Aporá,BA,660
-39.7440,-13.8560,Apuarema,BA,915
-38.2030,-12.2200,Araças,BA,4268
-41.4620,-14.4280,Aracatu,BA,649
-38.9670,-11.3330,Araci,BA,3895
-38.4990,-12.0820,Aramari,BA,6167
-39.4140,-15.2630,Arataca,BA,4334
-39.0020,-13.0790,Aratuípe,BA,1759
-39.3270,-14.3170,Aurelino Leal,BA,5551
-44.5350,-12.3060,Baianópolis,BA,1478
-40.1680,-11.9600,Baixa Grande,BA,3020
-38.6150,-10.5770,Banzaê,BA,5186
-43.1420,-11.0890,Barra,BA,2026
-41.3270,-13.6260,Barra da Estiva,BA,2087
-40.5790,-14.8810,Barra do Choça,BA,6394
-42.0590,-11.8100,Barra do Mendes,BA,3747
-39.6020,-14.2110,Barra do Rocha,BA,3703
-44.9900,-12.1530,Barreiras,BA,1794
-41.9120,-11.7610,Barro Alto,BA,393
-38.8830,-15.8630,Belmonte,BA,7989
-41.2600,-15.0380,Belo Campo,BA,416
-38.8000,-11.6170,Biritinga,BA,5743
-40.2080,-14.3630,Boa Nova,BA,356
-40.6090,-12.6600,Boa Vista do Tupim,BA,7900
-43.4180,-13.2550,Bom Jesus da Lapa,BA,8172
-40.5040,-14.3720,Bom Jesus da Serra,BA,5592
-41.8280,-12.7020,Boninal,BA,7115
-41.2670,-11.9660,Bonito,BA,4072
-42.7310,-12.8230,Boquira,BA,7600
-42.5230,-13.3820,Botuporã,BA,6174
-39.7960,-13.1040,Brejões,BA,7301
-43.9660,-12.4830,Brejolândia,BA,4757
-42.6260,-11.9990,Brotas de Macaúbas,BA,8240
-41.6650,-14.2040,Brumado,BA,8722
-39.3000,-14.9590,Buerarema,BA,1980
-43.6310,-10.7080,Buritirama,BA,4437
-40.4080,-14.9770,Caatiba,BA,2296
-39.1910,-12.5360,Cabaceiras do Paraguaçu,BA,5374
-38.9560,-12.6180,Cachoeira,BA,738
-42.2220,-14.5030,Caculé,BA,9325
-40.4350,-11.0910,Caém,BA,823
-40.9100,-14.3380,Caetanos,BA,9963
-42.4750,-14.0690,Caetité,BA,5058
-41.4680,-11.6940,Cafarnaum,BA,7241
-39.0440,-13.4870,Cairu,BA,7071
-40.3030,-11.0200,Caldeirão Grande,BA,7106
-39.4960,-15.4190,Camacan,BA,1619
-38.3240,-12.6980,Camaçari,BA,1857
-39.1040,-13.9450,Camamu,BA,3039
-43.0110,-9.5160,Campo Alegre de Lourdes,BA,7396
-40.3210,-10.5090,Campo Formoso,BA,9135
-44.2020,-13.0700,Canápolis,BA,9422
-41.7690,-11.6850,Canarana,BA,9342
-38.9470,-15.6750,Canavieiras,BA,2560
-39.1190,-11.8080,Candeal,BA,3842
-38.5510,-12.6680,Candeias,BA,5021
-42.8670,-14.4110,Candiba,BA,7818
-41.2390,-15.5050,Cândido Sales,BA,7238
-39.4980,-10.6710,Cansanção,BA,6692
-39.1370,-9.9040,Canudos,BA,9529
-39.8380,-11.6680,Capela do Alto Alegre,BA,9748
-40.0130,-11.3810,Capim Grosso,BA,6263
-41.3350,-14.6000,Caraíbas,BA,3261
-39.2660,-17.7320,Caravelas,BA,4239
-37.9490,-11.9420,Cardeal da Silva,BA,242
-43.7650,-14.3050,Carinhanha,BA,4329
-40.9710,-9.1620,Casa Nova,BA,2362
-39.4280,-12.7660,Castro Alves,BA,3511
-44.8610,-12.3180,Catolândia,BA,1529
-38.3790,-12.3530,Catu,BA,9159
-42.2910,-13.3290,Caturama,BA,2570
-42.1130,-11.1360,Central,BA,2237
-39.0940,-8.9800,Chorrochó,BA,4088
-38.3830,-10.6000,Cícero Dantas,BA,89
-38.5170,-11.1000,Cipó,BA,2159
-39.5510,-14.6410,Coaraci,BA,800
-44.5340,-14.1840,Cocos,BA,6148
-38.9990,-12.5060,Conceição da Feira,BA,1034
-39.1640,-12.8090,Conceição do Almeida,BA,3227
-39.2830,-11.5640,Conceição do Coité,BA,7297
-38.7270,-12.4230,Conceição do Jacuípe,BA,8514
-37.6110,-11.8140,Conde,BA,1346
-41.9690,-14.8950,Condeúba,BA,4498
-41.0410,-13.7630,Contendas do Sincorá,BA,5750
-38.7500,-12.2330,Coração de Maria,BA,4794
-41.9350,-15.0390,Cordeiros,BA,580
-44.4540,-13.8290,Coribe,BA,5964
-37.9260,-10.2840,Coronel João Sá,BA,1099
-44.6370,-13.3430,Correntina,BA,750
-44.2580,-12.0280,Cotegipe,BA,7851
-39.8150,-13.3590,Cravolândia,BA,6116
-38.1500,-11.5110,Crisópolis,BA,8850
-44.4210,-12.2340,Cristópolis,BA,8439
-39.1020,-12.6700,Cruz das Almas,BA,7166
-39.9080,-8.9920,Curaçá,BA,1177
-39.9080,-14.4360,Dário Meira,BA,6774
-38.2970,-12.6130,Dias d'Ávila,BA,4884
-41.7710,-13.7600,Dom Basílio,BA,2462
-39.1930,-12.9050,Dom Macedo Costa,BA,3191
-39.5220,-12.9460,Elísio Medrado,BA,7429
-40.9090,-15.5310,Encruzilhada,BA,6526
-38.0840,-11.9420,Entre Rios,BA,6902
-42.1400,-13.4180,Érico Cardoso,BA,9403
-37.9450,-11.7960,Esplanada,BA,3939
-39.0140,-10.5080,Euclides da Cunha,BA,2101
-39.5800,-16.3780,Eunápolis,BA,9445
-38.2170,-10.6000,Fátima,BA,2428
-44.2810,-14.2070,Feira da Mata,BA,5674
-38.9670,-12.2670,Feira de Santana,BA,3797
-40.1330,-10.7410,Filadélfia,BA,2312
-39.9240,-14.9850,Firmino Alves,BA,3049
-39.6600,-14.8600,Floresta Azul,BA,8375
-45.1930,-11.0480,Formosa do Rio Preto,BA,5634
-39.4870,-13.7440,Gandu,BA,2976
-39.7840,-11.4710,Gavião,BA,2116
-42.5030,-11.4290,Gentio do Ouro,BA,89
-38.2570,-9.3390,Glória,BA,3811
-39.4650,-14.3220,Gongogi,BA,6572
-39.4710,-14.8100,Governador Lomanto Júnior,BA,7226
-39.0430,-12.6020,Governador Mangabeira,BA,5956
-41.9400,-14.5470,Guajeru,BA,6099
-42.7810,-14.2230,Guanambi,BA,6355
-39.7830,-16.5840,Guaratinga,BA,7557
-38.2860,-10.6830,Heliópolis,BA,659
-40.2120,-12.7670,Iaçu,BA,7405
-42.2570,-14.2590,Ibiassucê,BA,5832
-39.5880,-14.8650,Ibicaraí,BA,9690
-41.2850,-13.4110,Ibicoara,BA,8822
-39.9870,-14.8420,Ibicuí,BA,1609
-42.0110,-11.6410,Ibipeba,BA,5816
-42.4860,-12.8820,Ibipitanga,BA,5444
-40.9340,-12.6510,Ibiquera,BA,8525
-39.3740,-14.1640,Ibirapitanga,BA,7650
-40.1090,-17.6880,Ibirapuã,BA,2305
-39.6410,-14.0670,Ibirataia,BA,7026
-42.2180,-12.6520,Ibitiara,BA,8037
-41.9780,-11.5470,Ibititá,BA,983
-43.2210,-12.1850,Ibotirama,BA,1467
-39.1920,-11.7490,Ichu,BA,7018
-42.7140,-13.7730,Igaporã,BA,6515
-39.1420,-13.8260,Igrapiúna,BA,7560
-40.0890,-14.7560,Iguaí,BA,8852
-39.0490,-14.7890,Ilhéus,BA,5433
-38.3530,-11.7840,Inhambupe,BA,3834
-39.3080,-12.3000,Ipecaetá,BA,3953
-39.7340,-14.1370,Ipiaú,BA,4177
-39.7370,-12.1580,Ipirá,BA,6855
-42.6140,-11.8200,Ipupiara,BA,9354
-40.0840,-13.2510,Irajuba,BA,3013
-40.9510,-13.2860,Iramaia,BA,7933
-41.6190,-12.2490,Iraquara,BA,3561
-38.7670,-12.0500,Irará,BA,8556
-41.8560,-11.3040,Irecê,BA,33
-39.5530,-16.5750,Itabela,BA,9999
-40.3070,-12.5280,Itaberaba,BA,2154
-39.2800,-14.7860,Itabuna,BA,6889
-38.9970,-14.2780,Itacaré,BA,2065
-40.9730,-12.9860,Itaeté,BA,6614
-40.0060,-14.1630,Itagi,BA,9292
-39.8430,-14.2840,Itagibá,BA,1814
-39.6140,-16.0870,Itagimirim,BA,8969
-42.3990,-11.0120,Itaguaçu da Bahia,BA,7851
-39.7240,-15.1430,Itaju do Colônia,BA,5995
-39.3750,-14.6780,Itajuípe,BA,2217
-39.5310,-17.0390,Itamaraju,BA,8495
-39.6840,-13.7780,Itamari,BA,2819
-40.6240,-15.2450,Itambé,BA,3042
-38.0420,-12.2630,Itanagra,BA,3738
-40.3300,-17.1660,Itanhém,BA,4470
-38.6790,-12.8880,Itaparica,BA,1748
-39.4210,-14.8980,Itapé,BA,9668
-39.5340,-15.9510,Itapebi,BA,1307
-40.2480,-15.2490,Itapetinga,BA,5405
-38.2330,-11.3170,Itapicuru,BA,5261
-39.5650,-14.4230,Itapitanga,BA,4467
-39.9410,-13.4510,Itaquara,BA,5001
-40.0660,-15.6600,Itarantim,BA,4986
-39.6980,-12.7120,Itatim,BA,645
-40.1500,-13.5320,Itiruçu,BA,5096
-39.8530,-10.6910,Itiúba,BA,2574
-40.0700,-15.1170,Itororó,BA,5763
-41.2970,-13.8130,Ituaçu,BA,6917
-39.1490,-13.7320,Ituberá,BA,9793
-43.5540,-14.4140,Iuiú,BA,7395
-44.4330,-13.6190,Jaborandi,BA,7259
-42.4330,-14.8500,Jacaraci,BA,4086
-40.5180,-11.1810,Jacobina,BA,9998
-39.9710,-13.5310,Jaguaquara,BA,3664
-40.1960,-10.2600,Jaguarari,BA,6543
-38.8960,-13.1130,Jaguaripe,BA,404
-37.7840,-11.5640,Jandaíra,BA,6968
-40.0840,-13.8580,Jequié,BA,499
-38.3500,-10.0670,Jeremoabo,BA,4843
-39.5720,-13.2570,Jiquiriçá,BA,6895
-39.8890,-14.0190,Jitaúna,BA,234
-41.6640,-11.3500,João Dourado,BA,5289
-40.5030,-9.4140,Juazeiro,BA,7523
-40.1590,-16.8430,Jucuruçu,BA,4417
-41.9690,-11.0470,Jussara,BA,7792
-39.4950,-15.1910,Jussari,BA,1391
-41.5930,-13.5170,Jussiape,BA,8457
-40.2130,-13.6560,Lafaiete Coutinho,BA,6272
-42.1420,-14.0350,Lagoa Real,BA,5081
-39.4250,-13.1820,Laje,BA,5865
-40.3450,-17.6140,Lajedão,BA,1672
-40.9060,-12.3560,Lajedinho,BA,8722
-40.2240,-13.4750,Lajedo do Tabocal,BA,4768
-38.9000,-11.7830,Lamarão,BA,3160
-41.8320,-11.3830,Lapão,BA,3693
-38.3270,-12.8940,Lauro de Freitas,BA,3801
-41.3900,-12.5630,Lençóis,BA,6908
-42.5080,-14.6820,Licínio de Almeida,BA,3336
-41.8410,-13.6430,Livramento de Nossa Senhora,BA,5645
-40.3600,-12.1360,Macajuba,BA,7719
-40.4230,-15.5680,Macarani,BA,3755
-42.6990,-13.0190,Macaúbas,BA,2761
-39.0580,-9.1680,Macururé,BA,3615
-38.6210,-12.7410,Madre de Deus,BA,2836
-41.4920,-14.6630,Maetinga,BA,3289
-40.2660,-15.6210,Maiquinique,BA,4792
-40.1490,-11.7110,Mairi,BA,8762
-43.7740,-14.3360,Malhada,BA,2423
-41.8790,-14.3880,Malhada de Pedras,BA,2568
-40.2430,-14.1450,Manoel Vitorino,BA,5360
-44.0340,-10.7160,Mansidão,BA,2982
-40.4310,-13.4410,Maracás,BA,3124
-38.9190,-12.7780,Maragogipe,BA,615
-39.0150,-14.1030,Maraú,BA,2753
-40.5310,-13.0030,Marcionílio Souza,BA,4021
-39.3030,-15.5630,Mascote,BA,4374
-38.2990,-12.5300,Mata de São João,BA,7379
-42.8490,-13.9090,Matina,BA,6407
-40.2210,-17.3740,Medeiros Neto,BA,9621
-40.5950,-11.4290,Miguel Calmon,BA,2674
-39.8590,-12.8700,Milagres,BA,8180
-40.5760,-10.9540,Mirangaba,BA,5234
-40.7730,-14.2420,Mirante,BA,4242
-39.3330,-10.4380,Monte Santo,BA,5979
-43.2810,-11.5590,Morpará,BA,6717
-41.1560,-11.5500,Morro do Chapéu,BA,9146
-42.3680,-15.0230,Mortugaba,BA,4819
-41.3710,-13.0050,Mucugê,BA,2817
-39.5510,-18.0860,Mucuri,BA,5377
-41.6390,-11.9660,Mulungu do Morro,BA,2505
-40.4720,-11.8590,Mundo Novo,BA,9532
-39.1100,-13.0030,Muniz Ferreira,BA,537
-43.5490,-12.0650,Muquém de São Francisco,BA,5098
-38.9900,-12.6260,Muritiba,BA,3680
-39.5050,-13.2290,Mutuípe,BA,5347
-39.0140,-13.0350,Nazaré,BA,3123
-39.1070,-13.5990,Nilo Peçanha,BA,9121
-39.4280,-10.8230,Nordestina,BA,5429
-40.1420,-14.7940,Nova Canaã,BA,5307
-39.6310,-11.6060,Nova Fátima,BA,3039
-39.6260,-13.8100,Nova Ibiá,BA,8032
-40.0690,-13.0270,Nova Itarana,BA,3359
-41.0710,-12.8190,Nova Redenção,BA,431
-38.4830,-11.2330,Nova Soure,BA,7806
-39.3720,-17.8920,Nova Viçosa,BA,2694
-42.1680,-12.8080,Novo Horizonte,BA,7688
-38.4060,-10.3170,Novo Triunfo,BA,8277
-38.3330,-11.3670,Olindina,BA,1861
-42.8960,-12.3170,Oliveira dos Brejinhos,BA,8712
-38.6170,-12.0170,Ouriçangas,BA,330
-41.0830,-10.9700,Ourolândia,BA,3469
-43.1620,-14.2670,Palmas de Monte Alto,BA,3108
-41.5590,-12.5290,Palmeiras,BA,1371
-42.2390,-13.4430,Paramirim,BA,745
-43.1840,-12.6910,Paratinga,BA,2965
-37.8620,-10.6880,Paripiranga,BA,444
-39.6510,-15.4640,Pau Brasil,BA,9837
-38.2220,-9.4080,Paulo Afonso,BA,9218
-39.6130,-11.8340,Pé de Serra,BA,3395
-38.6500,-12.1500,Pedrão,BA,4240
-37.8940,-10.0140,Pedro Alexandre,BA,6229
-41.7730,-13.1520,Piatã,BA,2415
-42.5040,-10.0030,Pilão Arcado,BA,7716
-42.6870,-14.4930,Pindaí,BA,6845
-40.3630,-10.7430,Pindobaçu,BA,9212
-39.9090,-11.8130,Pintadas,BA,1295
-39.3790,-13.7620,Piraí do Norte,BA,9235
-41.7200,-14.9400,Piripá,BA,5135
-40.5550,-11.7300,Piritiba,BA,5120
-40.3690,-13.2590,Planaltino,BA,6829
-40.4710,-14.6700,Planalto,BA,520
-40.3650,-14.5300,Poções,BA,6477
-38.3280,-12.4310,Pojuca,BA,6211
-40.1340,-10.8620,Ponto Novo,BA,3521
-39.0650,-16.4500,Porto Seguro,BA,5177
-39.8770,-15.5950,Potiraguá,BA,9233
-39.2210,-17.3410,Prado,BA,606
-41.9870,-11.2960,Presidente Dutra,BA,9183
-41.6780,-14.6890,Presidente Jânio Quadros,BA,9406
-39.4200,-13.4490,Presidente Tancredo Neves,BA,1559
-39.6240,-10.9780,Queimadas,BA,7632
-39.2100,-10.7530,Quijingue,BA,7595
-40.1280,-11.4120,Quixabeira,BA,5937
-39.5010,-12.4080,Rafael Jambeiro,BA,9926
-42.0810,-9.6220,Remanso,BA,457
-39.4260,-11.4950,Retirolândia,BA,4339
-44.9100,-11.7460,Riachão das Neves,BA,4385
-39.3820,-11.8100,Riachão do Jacuípe,BA,8545
-42.9390,-13.6090,Riacho de Santana,BA,4695
-38.4330,-11.0470,Ribeira do Amparo,BA,4323
-38.5360,-10.8340,Ribeira do Pombal,BA,7826
-40.7390,-15.4590,Ribeirão do Largo,BA,5837
-41.8110,-13.5790,Rio de Contas,BA,5136
-42.0760,-14.4110,Rio do Antônio,BA,1343
-42.2920,-13.1280,Rio do Pires,BA,3435
-37.9330,-11.4850,Rio Real,BA,3482
-38.7560,-8.8510,Rodelas,BA,942
-40.4940,-12.2840,Ruy Barbosa,BA,3251
-38.7640,-12.8710,Salinas da Margarida,BA,3898
-38.5110,-12.9710,Salvador,BA,1299
-38.9750,-11.9580,Santa Bárbara,BA,9928
-38.1260,-9.7360,Santa Brígida,BA,4905
-39.0250,-16.2780,Santa Cruz Cabrália,BA,2186
-39.8120,-14.9610,Santa Cruz da Vitória,BA,3686
-39.8190,-13.2920,Santa Inês,BA,714
-39.3340,-15.4290,Santa Luzia,BA,7456
-44.1980,-13.3980,Santa Maria da Vitória,BA,8939
-44.5190,-11.0090,Santa Rita de Cássia,BA,3506
-39.5230,-12.7720,Santa Teresinha,BA,5626
-39.3750,-11.2560,Santaluz,BA,2844
-44.0510,-12.9830,Santana,BA,9881
-38.8670,-12.0170,Santanópolis,BA,9846
-38.7120,-12.5470,Santo Amaro,BA,9704
-39.2610,-12.9690,Santo Antônio de Jesus,BA,5616
-39.2510,-12.4300,Santo Estêvão,BA,9514
-44.9730,-12.3630,São Desidério,BA,3238
-39.5420,-11.5030,São Domingos,BA,2275
-39.0890,-12.8470,São Felipe,BA,2940
